employment_status,age_group,rho,mean_income_exp_dev,mean_income_uncertainty_var_prior,sigma2_xi,sigma2_v
employed,18-34,0.9518878627264576,0.02018202912084973,0.005028984250627303,0.01519439185024712,0.0003173455556575601
employed,35-49,0.9518878627264576,0.01008815296089871,0.003828699143248362,0.0111010082630461,0.0003454310251577192
employed,50-70,0.9518878627264576,-0.009657198337298429,0.004740191718461355,0.008591417907656006,0.0005347279353547691
employed,71-85,0.9518878627264576,-0.003083336348743498,0.001964737812517838,0.001826375989560702,0.0003424447886460736
retired,18-34,0.9518878627264576,-0.02165594189810295,0.003737614133856944,0.005604147619268755,0.0004498161370292061
retired,35-49,0.9518878627264576,0.004684322290583649,0.003367712222312331,0.01686562954811919,0.0001220796070714626
retired,50-70,0.9518878627264576,-0.00263156301827455,0.003170959226215258,0.004317850151697514,0.0003181517364938468
retired,71-85,0.9518878627264576,-0.003786123187752924,0.002565759465446897,0.005049864443873465,0.0002029095465483193
unemployed,18-34,0.9518878627264576,0.03912062049627687,0.00511773908500292,0.02055725260762192,0.0006731789660901909
unemployed,35-49,0.9518878627264576,-0.02300184181173805,0.01085804722814455,0.04448339505392302,0.00125900626393693
unemployed,50-70,0.9518878627264576,-0.05014063434112818,0.009959092400317341,0.01323786626529037,0.0007623836083616617
unemployed,71-85,0.9518878627264576,-0.09235947776905565,,,
