,date,y,y_p,ln_y_p_over_y,log_y,d4_log_y,rr_ma4_l1,rr_ma4_l5,rr_ma4_l9,u_ma4_l1,u_ma4_l2,u_ma4_l3,u_ma4_l4,u_ma4_l5,d_u,d4_u,d4_u_l1,d4_u_ma4_l1,cci_cs_ma4_l1,cci_fs_ma4_l1,cci_es_ma4_l1,t_bill_d4,t_bill_d4_l1,stock_log_ma4_l1,oil_log_ma4_l1,oil_log_ma4_l5,fx_log_ma4_l1,fx_log_ma4_l5,log_work_age_pop_share,covid19,trend,splittrend_pdv
0,1980-03-31 23:59:59.999999999,63.46192688345789,65.02381684257557,0.02431346630326736,4.150440149442235,,,,,,,,,,,,,,,,,,,,,,,,4.154121221569602,0.0,0.0,0.0
1,1980-06-30 23:59:59.999999999,63.41143203393254,65.1811881869655,0.027526741380711428,4.149644161180833,,,,,,,,,,0.08816099999999949,,,,,,,,,,,,,,4.156167688238194,0.0,1.0,0.0
2,1980-09-30 23:59:59.999999999,63.67400525146435,65.34855929497722,0.025958995377956207,4.153776398465743,,,,,,,,,,0.0,,,,,,,,,,,,,,4.158232394996119,0.0,2.0,0.0
3,1980-12-31 23:59:59.999999999,63.6942031912745,65.51632799929469,0.028205837277108792,4.154093556730374,,,,,,,,,,0.26448300000000025,,,,,,,,,,,,,,4.16029284752228,0.0,3.0,0.0
4,1981-03-31 23:59:59.999999999,63.8254898000404,65.68786619586633,0.028761586232141312,4.156152637207626,0.005712487765390684,-1.453619829413069,,,5.5100645,,,,,0.26448300000000025,0.617127,,,,,,-1.0200000009999997,,2.054790161217534,,,4.782975828095562,,4.162304407896929,0.0,4.0,0.0
5,1981-06-30 23:59:59.999999999,64.78489194102202,65.86379592279582,0.016516484411300603,4.17107242711646,0.021428265935627522,-1.5868772890400866,,,5.66434625,5.5100645,,,,0.3526449999999999,0.8816110000000004,0.617127,,,,,3.2866666669999987,-1.0200000009999997,2.0568462551703983,,,4.7763614413446,,4.164361007755555,0.0,5.0,0.0
6,1981-09-30 23:59:59.999999999,64.6233084225409,65.99402258823687,0.020989013873922602,4.168575157206183,0.014798758740440121,0.2800529336090707,,,5.884748999999999,5.66434625,5.5100645,,,0.35264399999999974,1.234255,0.8816110000000004,,,,,5.763333333000002,3.2866666669999987,2.0210176529865955,,,4.764160052073581,,4.166435916922873,0.0,6.0,0.0
7,1981-12-31 23:59:59.999999999,64.21934962633811,66.14007796559754,0.02947032501527591,4.162304561334131,0.008211004603756678,1.690822675524789,,,6.19331275,5.884748999999999,5.66434625,5.5100645,,0.26448300000000025,1.234255,1.234255,,,,,4.216666666,5.763333333000002,1.9859189540527145,,,4.7503453217794585,,4.168506529755105,0.0,7.0,0.0
8,1982-03-31 23:59:59.999999999,65.09796000807917,66.31790314447743,0.018566680642598143,4.175893212442106,0.01974057523448014,2.5852393656912973,-1.453619829413069,,6.5018765,6.19331275,5.884748999999999,5.66434625,5.5100645,0.0,0.9697719999999999,1.234255,0.9918119999999995,,,,2.966666667,4.216666666,1.926105238707711,,,4.738859760310273,4.782975828095562,4.17052798906913,0.0,8.0,0.0
9,1982-06-30 23:59:59.999999999,65.71399717228843,66.45743404806723,0.011249703652607579,4.185311949561707,0.014239522445246955,3.178077560742226,-1.5868772890400866,,6.7443195,6.5018765,6.19331275,5.884748999999999,5.66434625,0.08816099999999949,0.7052879999999995,0.9697719999999999,1.0799732499999992,,,,0.1966666660000005,2.966666667,1.8928766324599955,,,4.732243089429231,4.7763614413446,4.172340943958424,0.0,9.0,0.0
10,1982-09-30 23:59:59.999999999,65.71399717228843,66.57282623715601,0.012984530266971994,4.185311949561707,0.016736792355524166,2.084147889810489,0.2800529336090707,,6.9206415,6.7443195,6.5018765,6.19331275,5.884748999999999,0.17632200000000076,0.5289660000000005,0.7052879999999995,1.035892500000001,,,,-2.853333333000002,0.1966666660000005,1.906166993706206,,,4.729866196598488,4.764160052073581,4.174170486336658,0.0,10.0,0.0
11,1982-12-31 23:59:59.999999999,64.7242981215916,66.6964863448934,0.030015591475712533,4.17013668157095,0.007832120236819229,1.8679641022599058,1.690822675524789,,7.0528830000000005,6.9206415,6.7443195,6.5018765,6.19331275,0.08816099999999949,0.35264399999999974,0.5289660000000005,0.8595702500000009,,,,-2.4533333319999997,-2.853333333000002,1.8957560961444873,,,4.7096861991042775,4.7503453217794585,4.175996687601357,0.0,11.0,0.0
12,1983-03-31 23:59:59.999999999,65.68370026257323,66.88736612483378,0.01815930084351791,4.1848508012943695,0.008957588852263498,2.348292731663909,2.5852393656912973,-1.453619829413069,7.141044,7.0528830000000005,6.9206415,6.7443195,6.5018765,-0.08816099999999949,0.26448300000000025,0.35264399999999974,0.6391675000000001,,,,-2.0933333330000004,-2.4533333319999997,1.90220617703981,,,4.693267230123776,4.738859760310273,4.177779967586362,0.0,12.0,0.0
13,1983-06-30 23:59:59.999999999,64.926277519693,67.02948905848837,0.03188022355278797,4.17325243420841,-0.012059515353296746,2.783914908485541,3.178077560742226,-1.5868772890400866,7.2071647500000005,7.141044,7.0528830000000005,6.9206415,6.7443195,0.0,0.17632200000000076,0.26448300000000025,0.4628452500000009,,,,-3.5199999999999996,-2.0933333330000004,1.9252492958723564,,,4.685450691321844,4.732243089429231,4.179405513657297,0.0,13.0,0.0
14,1983-09-30 23:59:59.999999999,64.6536053322561,67.22828374497361,0.039050177445724366,4.169043870596531,-0.016268078965175903,3.129950535843756,2.084147889810489,0.2800529336090707,7.25124525,7.2071647500000005,7.141044,7.0528830000000005,6.9206415,0.08816099999999949,0.08816099999999949,0.17632200000000076,0.33060374999999986,,,,-2.0299999999999994,-3.5199999999999996,1.9798763355019087,,,4.669258202857974,4.729866196598488,4.18104624114685,0.0,14.0,0.0
15,1983-12-31 23:59:59.999999999,64.6536053322561,67.45251951903722,0.0423800652370927,4.169043870596531,-0.001092810974419045,3.071490032023366,1.8679641022599058,1.690822675524789,7.2732855,7.25124525,7.2071647500000005,7.141044,7.0528830000000005,0.17632199999999987,0.17632199999999987,0.08816099999999949,0.2204024999999996,,,,-0.7400000010000003,-2.0299999999999994,2.079644814550453,,,4.666990793391307,4.7096861991042775,4.182684281058689,0.0,15.0,0.0
16,1984-03-31 23:59:59.999999999,64.6536053322561,67.68432464526458,0.045810741082959794,4.169043870596531,-0.01580693069783834,2.8479468413143136,2.348292731663909,2.5852393656912973,7.317366,7.2732855,7.25124525,7.2071647500000005,7.141044,0.6171270000000009,0.8816100000000002,0.17632199999999987,0.17632199999999987,,,,-0.20333333399999987,-0.7400000010000003,2.194314235821679,,,4.661285135113044,4.693267230123776,4.184301880887906,0.0,16.0,0.0
